KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTNAME452011;The End of the United Kingdom;La fin du Royaume-Uni;Das Ende des Vereinigten Königreichs;Koniec Wielkiej Brytanii;El fin del Reino Unido;La fine del Regno Unito;Az Egyesült Királyság vége;Konec Spojeného království;Az Egyesült Királyság vége;Het einde van het Verenigd Koninkrijk;O fim do Reino Unido;Êîíåö Ñîåäèíåííîãî Êîğîëåâñòâà;Yhdistyneen kuningaskunnan loppu;x
EVTDESC452011;Although the Union of 1707 joined the thrones of England and Scotland, the recent war happened to destroy this joyful union;Bien que l'Union de 1707 ait rejoint les trônes de l'Angleterre et de l'Écosse, la guerre récente a détruit cette joyeuse union;Obwohl sich die Union von 1707 den Thronen von England und Schottland angeschlossen hatte, zerstörte der jüngste Krieg diese freudige Union;Chocia¿ Zwi¹zek 1707 wst¹pi³ do tronów Anglii i Szkocji, ostatnia wojna zdarzy³a siê zniszczyæ tê radosn¹ jednoœæ;Aunque la Unión de 1707 se unió a los tronos de Inglaterra y Escocia, la guerra reciente destruyó esta unión gozosa.;Anche se l'Unione del 1707 unì i troni di Inghilterra e Scozia, la recente guerra distrusse questa gioiosa unione;Bár az 1707-es Unió csatlakozott Anglia és Skócia trónjához, a közelmúltbeli háború megtörtént, hogy elpusztítsa ezt az örömteli szövetséget;Aèkoli se Unie z roku 1707 pøipojila k trùnùm Anglie a Skotska, nedávná válka znièila toto radostné spojení;Bár az 1707-es Unió csatlakozott Anglia és Skócia trónjához, a közelmúltbeli háború megtörtént, hogy elpusztítsa ezt az örömteli szövetséget;Hoewel de Unie van 1707 zich aansloot bij de tronen van Engeland en Schotland, heeft de recente oorlog deze blije verbintenis vernietigd;Embora a União de 1707 tenha se juntado aos tronos da Inglaterra e da Escócia, a recente guerra acabou por destruir esta alegre união.;Õîòÿ Ñîşç 1707 ãîäà ïğèñîåäèíèëñÿ ê ïğåñòîëàì Àíãëèè è Øîòëàíäèè, íåäàâíÿÿ âîéíà ğàçğóøèëà ıòîò ğàäîñòíûé ñîşç.;Vaikka 1707-luku liittyi Englannin ja Skotlannin trooneihin, äskettäinen sota tapahtui tuhoamaan tämän iloisen liiton;x
EVTOPTA452011;God save $MONARCHTITLE$ of Scotland!;Dieu sauve $MONARCHTITLE$ d'Écosse!;Gott rette $MONARCHTITLE$ von Schottland!;Bo¿e, zaoszczêdŸ $MONARCHTITLE$ Szkocji!;¡Dios ahorre $MONARCHTITLE$ de Escocia!;Dio salvi $MONARCHTITLE$ di Scozia!;Isten megmentse a $MONARCHTITLE$ -t Skóciából!;Bùh zachránil $MONARCHTITLE$ Skotska!;Isten megmentse a $MONARCHTITLE$ -t Skóciából!;God red $MONARCHTITLE$ van Schotland!;Deus salve $MONARCHTITLE$ da Escócia!;Áîæå, õğàíè $MONARCHTITLE$ â Øîòëàíäèè!;Jumala pelastaa $MONARCHTITLE$ of Scotland!;x
EVTOPTA452012;God save $MONARCHTITLE$ of England!;Dieu sauve $MONARCHTITLE$ d'Angleterre!;Gott rette $MONARCHTITLE$ von England!;Bo¿e, zaoszczêdŸ $MONARCHTITLE$ z Anglii!;¡Dios ahorre $MONARCHTITLE$ de Inglaterra!;Dio salvi $MONARCHTITLE$ d'Inghilterra!;Isten mentse $MONARCHTITLE$ -t Angliából!;Bùh zachránil $MONARCHTITLE$ Anglie!;Isten mentse $MONARCHTITLE$ -t Angliából!;God red $MONARCHTITLE$ van Engeland!;Deus salve $MONARCHTITLE$ da Inglaterra!;Áîæå, õğàíè $MONARCHTITLE$ Àíãëèè!;Jumala pelastaa $MONARCHTITLE$ Englannista!;x
EVTNAME350001;Centralization of the Heavenly Kingdom;Centralisation du Royaume céleste;Zentralisierung des himmlischen Königreichs;Centralizacja Królestwa Niebieskiego;Centralización del Reino Celestial;La centralizzazione del Regno Celeste;Központosítása a Mennyei Királyság;Centralizace nebeského království;Központosítása a Mennyei Királyság;Centralisatie van de Hemelse Koninkrijk;Centralização do Reino Celestial;Öåíòğàëèçàöèÿ Íåáåñíîãî Öàğñòâà;Keskittäminen taivaan valtakunnan;x
EVTDESC350001;Shall we join the Emperor of the Skies?;Devons-nous nous joindre à l'empereur des cieux?;Sollen wir uns dem Kaiser des Himmels anschließen?;Czy powinniœmy do³¹czyæ do Imperatora Niebios?;¿Podemos unirnos al Emperador de los Cielos?;Vogliamo unirci all'Imperatore dei Cieli?;Csatlakozunk a császár a Skies?;Máme se pøipojit k císaøi oblohy?;Csatlakozunk a császár a Skies?;Zullen we lid worden van de keizer van de Skies?;Vamos juntar-nos ao Imperador dos Céus?;Äîëæíû ëè ìû ïğèñîåäèíèòüñÿ ê Èìïåğàòîğó Íåáåñ?;Pitäisikö meidän liittyä keisari Skies?;x
EVTOPTA350001;May the Son of Heaven reign on us!;Que le Fils du Ciel règne sur nous!;Möge der Sohn des Himmels auf uns herrschen!;Niech nasi króluj¹ nad nami Syn Niebios!;¡Que el Hijo del Cielo reine sobre nosotros!;Possa il Figlio del Cielo regnare su di noi!;Május a Son of Heaven uralkodni rajtunk!;Ké nás vládne Syn nebe!;Május a Son of Heaven uralkodni rajtunk!;Moge de Zoon van de Hemel regeren op ons!;Que o Filho do Céu reine sobre nós!;Ïóñòü Öàğü Íåáåñíûé öàğñòâóåò íàä íàìè!;Voi Poika Heaven hallitsemaan meitä!;x
EVTOPTB350003;We won't be ruled by such backward religious fanatics! We have science now;Nous ne serons pas gouvernés par des fanatiques religieux renversés! Nous avons maintenant de la science;Wir werden nicht von solchen rückständigen religiösen Fanatikern beherrscht werden! Wir haben jetzt Wissenschaft;Nie bêdziemy rz¹dzeni przez takich wywrotowych religijnych fanatyków! Teraz mamy naukê;¡No seremos gobernados por fanáticos religiosos atrasados! Tenemos ciencia ahora;Non saremo governati da certi bigotti! Abbiamo la scienza adesso;Mi nem zárható ilyen backwarded vallási fanatikusok! Van a tudomány ma már;Tyto vzpurné náboenské fanatiky nebudou vládnout! Máme teï vìdu;Mi nem zárható ilyen backwarded vallási fanatikusok! Van a tudomány ma már;We zullen niet worden geregeerd door een dergelijke backwarded religieuze fanatici! We hebben de wetenschap nu;Não seremos governados por fanáticos religiosos tão atrasados! Temos ciência agora;Ìû íå áóäåì ïğàâèòü òàêèìè îòñòàëûìè ğåëèãèîçíûìè ôàíàòèêàìè! Ñåé÷àñ ó íàñ åñòü íàóêà;Emme voi sulkea tällainen backwarded uskonnollisten fanaatikkojen! Meillä on tiedettä nyt;x
EVTNAME350002;Fall of the Mandate of Heaven;Chute du mandat du ciel;Fall des Reiches des Himmels;Upadek Mandatu Nieba;Caída del Mandato del Cielo;La caduta del Mandato del Cielo;Fall a megbízás of Heaven;Pád Nebeského mandátu;Fall a megbízás of Heaven;Val van het mandaat van de Hemel;Queda do Mandato do Céu;Ïàäåíèå Ìàíäàòà Íåáåñ;Fall of taivaan mandaatti;x
EVTDESC350002;Too backwards a concept, the idea of the Heavenly Kingdom has stopped keeping subjects from revolt;Trop à l'envers, le concept du Royaume céleste n'a empêché pas les sujets de se révolter;Zu viel rückwärts könnte das Konzept des himmlischen Königreichs nicht mehr aufgehören, Themen von Aufruhr zu halten;Za dyzo wstecz, pojecie Niebiañskiego Królestwa przesta³o trzymaæ tematy z buntu;Demasiado atrás, el concepto de Reino Celestial ha dejado de mantener a los sujetos de la revuelta;Troppo retrogrado, il concetto di Regno Celeste non deterre più i feudatari dal rivoltarsi;Túl sok hátra, a koncepció a Mennyei Királyság leállt tartása alanyt lázadás;Pøíliš zámìrnı koncept, myšlenka Nebeského království pøestala udrovat subjekty od vzpoury;Túl sok hátra, a koncepció a Mennyei Királyság leállt tartása alanyt lázadás;Te veel achteruit, het concept van de Hemelse Koninkrijk is gestopt met het houden van onderwerpen uit de opstand;Demasiado para trás, o conceito de Reino Celestial parou de manter os sujeitos da revolta;Ñëèøêîì íàçàä êîíöåïöèÿ, èäåÿ Íåáåñíîãî Öàğñòâà ïğåêğàòèëà âîññòàíèå ïîäñòğåêàòåëåé;Liikaa taaksepäin, käsite taivasten valtakunta on pysähtynyt pitää aiheista kapina;x
EVTNAME350005;The Question of al-Misr;La question d'al-Misr;Die Frage von al-Misr;Pytanie al-Misr;La cuestión de al-Misr;La Questione di al-Misr;Az al-Misr kérdése;Otázka al-Misr;Az al-Misr kérdése;De vraag van al-Misr;A Questão de al-Misr;Âîïğîñ àëü-Ìèñğ;Kysymys al-Misr;x
EVTDESC350005;The Ottoman power south of Cilicia has been fragmented and delegated to the loyal rulers. Egyptians claim they have a country of their own and cartographers agree.;La puissance ottomane au sud de la Cilicie a été fragmentée et déléguée aux dirigeants loyaux. Les Égyptiens prétendent avoir leur propre pays et les cartographes sont d'accord.;Die osmanische Macht südlich von Kilikien wurde zerstückelt und an die loyalen Herrscher delegiert. Die Ägypter behaupten, dass sie ein eigenes Land haben und Kartografen zustimmen.;Osmañska w³adza na po³udnie od Cylicji zosta³a podzielona i oddelegowana do lojalnych w³adców. Egipcjanie twierdz¹, ¿e maj¹ swój w³asny kraj i zgadzaj¹ siê kartografowie.;El poder otomano al sur de Cilicia se ha fragmentado y delegado a los gobernantes leales. Los egipcios afirman que tienen un país propio y los cartógrafos están de acuerdo.;Il potere ottomano a sud della Cilicia è stato frammentato e delegato ai fedeli governanti. Gli egiziani affermano di avere un proprio paese e i cartografi sono d'accordo.;Az oszmán hatalom a Cilicia-tól délre széttöredezett és a hûséges uralkodókra ruházott. Az egyiptomiak azt állítják, hogy saját országuk van, és a térképészek egyetértenek.;Osmanská moc jinì od Ciljice byla roztøíštìná a pøenesena na vìrné vládce. Egypané tvrdí, e mají vlastní zemi a kartografové souhlasí.;Az oszmán hatalom a Cilicia-tól délre széttöredezett és a hûséges uralkodókra ruházott. Az egyiptomiak azt állítják, hogy saját országuk van, és a térképészek egyetértenek.;De Ottomaanse macht ten zuiden van Cilicië is gefragmenteerd en gedelegeerd aan de loyale heersers. Egyptenaren beweren dat ze een eigen land hebben en cartografen zijn het daarmee eens.;O poder otomano ao sul da Cilícia foi fragmentado e delegado aos governantes leais. Os egípcios afirmam que eles têm um país próprio e os cartógrafos concordam.;Îñìàíñêàÿ âëàñòü ê şãó îò Êèëèêèè áûëà ôğàãìåíòèğîâàíà è äåëåãèğîâàíà âåğíûì ïğàâèòåëÿì. Åãèïòÿíå óòâåğæäàşò, ÷òî ó íèõ åñòü ñîáñòâåííàÿ ñòğàíà, è êàğòîãğàôû ñîãëàñíû.;Ottomaanien voima etelään Ciliciasta on hajonnut ja siirretty uskollisille hallitsijoille. Egyptiläiset väittävät, että heillä on oma maa ja kartografit ovat samaa mieltä.;x
EVTOPTA350005;The Turks will not anger the cartographers' will.;Les Turcs ne vont pas irriter la volonté des cartographes.;Die Türken werden den Willen der Kartographen nicht verärgern.;Turcy nie bêd¹ rozgniewaæ woli kartografów.;Los turcos no enfadarán la voluntad de los cartógrafos.;I turchi non irriteranno la volontà dei cartografi.;A törökök nem fogják haragudni a térképészek akaratából.;Turci nebudou hnìvat kartografickou vùli.;A törökök nem fogják haragudni a térképészek akaratából.;De Turken zullen de wil van de cartografen niet boos maken.;Os turcos não vão irritar a vontade dos cartógrafos.;Òóğêè íå áóäóò çëèòü âîëş êàğòîãğàôîâ.;Turkkilaiset eivät vihasta kartografien tahtoa.;x
EVTNAME451001;The Integration of $COUNTRY$;L'intégration de $COUNTRY$;Die Integration von $COUNTRY$;Integracja $COUNTRY$;La integración de $COUNTRY$;L'integrazione di $COUNTRY$;A $COUNTRY$ integrációja;Integrace $COUNTRY$;A $COUNTRY$ integrációja;De integratie van $COUNTRY$;A integração de $COUNTRY$;Èíòåãğàöèÿ $COUNTRY$;$COUNTRY$ integraatio;x
EVTDESC451001;Our country is small, technologically-backwarded, and economically unstable. Our mighty Overlord took us under their protection, and on this very day the annexation is happening.;Notre pays est petit, technologiquement arriéré et économiquement instable. Notre puissant seigneur nous a pris sous sa protection, et ce jour même l'annexion est en train de se produire.;Unser Land ist klein, technologisch rückständig und wirtschaftlich instabil. Unser mächtiger Herr hat uns unter seinen Schutz genommen, und an diesem Tag geschieht die Annexion.;Nasz kraj jest ma³y, technologicznie zacofany i ekonomicznie niestabilny. Nasz potê¿ny Overlord zabra³ nas pod ich opiekê i od tego dnia odbywa siê aneksja.;Nuestro país es pequeño, tecnológicamente rezagado y económicamente inestable. Nuestro poderoso Señor Supremo nos tomó bajo su protección, y en este mismo día está sucediendo la anexión.;Il nostro paese è piccolo, tecnologicamente arretrato ed economicamente instabile. Il nostro possente Padrone ci ha preso sotto la loro protezione, e proprio oggi sta succedendo l'annessione.;Országunk kicsi, technikailag hátrányos és gazdaságilag instabil. Hatalmas Overlordunk védelmet nyújtott nekünk, és ezen a napon a beküldés megtörténik.;Naše zemì je malá, technologicky zpomalená a ekonomicky nestabilní. Náš mocnı Overlord nás vzal pod svou ochranu a dnes se to dìje.;Országunk kicsi, technikailag hátrányos és gazdaságilag instabil. Hatalmas Overlordunk védelmet nyújtott nekünk, és ezen a napon a beküldés megtörténik.;Ons land is klein, technologisch achtergesteld en economisch onstabiel. Onze machtige Overlord nam ons onder hun bescherming, en op deze dag gebeurt de annexatie.;Nosso país é pequeno, tecnologicamente atrasado e economicamente instável. Nosso poderoso Overlord nos levou sob sua proteção, e neste mesmo dia a anexação está acontecendo.;Íàøà ñòğàíà íåáîëüøàÿ, òåõíîëîãè÷åñêè îòñòàëàÿ è ıêîíîìè÷åñêè íåñòàáèëüíàÿ. Íàø ìîãóùåñòâåííûé Îâåğëîğä âçÿë íàñ ïîä ñâîş çàùèòó, è â ıòîò æå äåíü ïğîèñõîäèò àííåêñèÿ.;Maamme on pieni, teknisesti taaksepäin ja taloudellisesti epävakaa. Meidän voimallinen Overlord otti meidät suojan alle, ja tänäkin päivänä liittoutuminen tapahtuu.;x
EVTOPTA451001;Let it be!;Amen!;Kümmer dich nicht darum!;Niech bêdzie!;¡Déjalo ser!;Amen.;Hadd legyen!;Nech to bıt!;Hadd legyen!;Laat maar zo!;Deixe ser!;Áóäü êàê áóäåò!;Anna sen olla!;x
EVTNAME451002;The Landgraf of Hesse-Kassel;Le Landgraf de Hesse-Kassel;Der Landgraf von Hessen-Kassel;Landgraf Hesji-Kassel;El Landgraf de Hesse-Kassel;Il Langravio di Assia-Cassel;A Hesse-Kassel Landgraf;Landgraf Hesse-Kassel;A Hesse-Kassel Landgraf;De Landgraf van Hessen-Kassel;O Landgraf de Hesse-Kassel;Ëàíäãğàô Ãåññåí-Êàññåëÿ;Landgraf Hessen-Kasselissa;x
EVTDESC451002;After the death of our former monarch, His younger son decided to rule in Kassel a landgraviate like ours.;Après la mort de notre ancien monarque, son fils cadet décida de régner à Kassel sur un landgraviate comme le nôtre.;Nach dem Tod unseres einstigen Monarchen beschloss sein jüngerer Sohn, in Kassel eine Landgrafschaft wie unsere zu regieren.;Po œmierci naszego by³ego monarchy, Jego m³odszy syn postanowi³ rz¹dziæ w Kassel takim krajem jak nasz.;Después de la muerte de nuestro antiguo monarca, su hijo menor decidió gobernar en Kassel un landgraviate como el nuestro.;Dopo la morte del nostro ex monarca, suo figlio minore decise di governare a Cassel un langraviato come il nostro.;Az egykori uralkodó halála után fiatalabb fia úgy döntött, hogy Kasselben egy földrajzot, mint a miénk.;Po smrti našeho bıvalého panovníka se jeho mladší syn rozhodl v Kasselu vládnout pozemskotrávce jako naše.;Az egykori uralkodó halála után fiatalabb fia úgy döntött, hogy Kasselben egy földrajzot, mint a miénk.;Na de dood van onze voormalige monarch besloot zijn jongste zoon om in Kassel een landgraaf als de onze te regeren.;Após a morte do nosso ex-monarca, seu filho mais novo decidiu governar em Kassel um landgraviate como o nosso.;Ïîñëå ñìåğòè íàøåãî áûâøåãî ìîíàğõà, åãî ìëàäøèé ñûí ğåøèë ïğàâèòü â Êàññåëå çåìëåâëàäåëüöåì, ïîäîáíûì íàøåìó.;Entisen monarkkin kuoleman jälkeen hänen nuorempi poikansa päätti hallita Kasselissa maapalloa, kuten meidän.;x
